"","logFC","logCPM","PValue","FDR"
"TRINITY_DN191_c0_g1_i1",1.34428323628539,7.17870873934605,3.11104838406334e-19,2.7724089794992e-17
"TRINITY_DN1097_c0_g1_i1",-1.30894365382026,10.3533488970395,4.02396862084023e-19,3.54520780879253e-17
"TRINITY_DN5800_c0_g1_i1",-1.61158694575329,4.32085760916137,4.92889174157783e-19,4.29367389578122e-17
"TRINITY_DN5514_c0_g1_i1",1.2458813506053,5.20658678884435,5.00362501765177e-19,4.31034497353935e-17
"TRINITY_DN594_c0_g1_i1",1.03760709639133,10.3910745064109,6.24465989727951e-19,5.32031298720968e-17
"TRINITY_DN2078_c0_g1_i1",-1.26593028257008,7.74769004825596,8.6497894262856e-19,7.28932798065134e-17
"TRINITY_DN5353_c0_g1_i1",1.59286869025511,5.64570947514324,1.50052314233057e-18,1.25091999166547e-16
"TRINITY_DN3873_c0_g1_i1",1.34376931237931,4.93107782430087,2.4816838578828e-18,2.04686116491121e-16
"TRINITY_DN2868_c0_g1_i1",-2.52537743294007,7.58651334065505,2.86287897010548e-18,2.33641059528713e-16
"TRINITY_DN5085_c0_g1_i1",1.60241652783333,8.95001343966945,3.07810561453315e-18,2.46589778764553e-16
"TRINITY_DN4326_c0_g1_i1",-1.19834973170979,6.25866398908262,3.0851552354136e-18,2.46589778764553e-16
"TRINITY_DN1043_c0_g1_i1",-1.1468408511125,8.07602813282924,3.61787874195212e-18,2.86218509044437e-16
"TRINITY_DN6370_c0_g1_i1",1.29947517400592,6.11575471060027,4.40182229878765e-18,3.44720487702027e-16
"TRINITY_DN1940_c0_g1_i1",1.0146218135878,7.37810979893944,7.9244705672876e-18,6.14384203081808e-16
"TRINITY_DN4698_c0_g1_i1",0.963110917085654,7.02750256678901,8.69270425236752e-18,6.67272634342628e-16
"TRINITY_DN1461_c0_g1_i1",-1.33422674938732,8.14105609080888,9.12078030665512e-18,6.9326872272056e-16
"TRINITY_DN1396_c0_g1_i1",1.04761530674562,6.85747059046522,9.63258872930367e-18,7.25062722507683e-16
"TRINITY_DN4524_c0_g1_i1",2.40118014357323,3.06270485758888,1.16040581154388e-17,8.65060217009588e-16
